Name,Gender,Country,CareerStage,Source
Oliver,Male,Australia,Experienced,NSW Registry top baby names 2010s / NSW Government 2019
William,Male,Australia,Experienced,NSW Government 2019 last decade release
Jack,Male,Australia,Experienced,NSW Registry top baby names 2000s
James,Male,Australia,Experienced,NSW Registry top baby names 2011
Thomas,Male,Australia,Experienced,NSW Registry top baby names 2010 / 2011
Joshua,Male,Australia,Experienced,NSW Registry top baby names 2011
Harry,Male,Australia,Experienced,NSW Registry top baby names 2011
Charlie,Male,Australia,Experienced,NSW Registry top baby names 2011
Noah,Male,Australia,Modern,NSW Government popular baby names 2024/2025
Oliver,Male,Australia,Modern,NSW Government popular baby names 2023/2024
Theodore,Male,Australia,Modern,NSW Government popular baby names 2024
James,Male,Australia,Modern,NSW Government popular baby names 2024
Henry,Male,Australia,Modern,NSW Government popular baby names 2024
Thomas,Male,Australia,Modern,NSW Government popular baby names 2024
Lucas,Male,Australia,Modern,NSW Government popular baby names 2024
Alexander,Male,Australia,Modern,NSW Government popular baby names 2024
Leo,Male,Australia,Modern,NSW Government popular baby names 2022/2024
Charlotte,Female,Australia,Experienced,NSW Government 2019 last decade release
Olivia,Female,Australia,Experienced,NSW Registry top baby names 2010s
Amelia,Female,Australia,Experienced,NSW Registry top baby names 2011 / NSW Government 2021
Lily,Female,Australia,Experienced,NSW Registry top baby names 2011
Jessica,Female,Australia,Experienced,NSW Registry top baby names 2011
Emily,Female,Australia,Experienced,NSW Registry top baby names 2011
Sophie,Female,Australia,Experienced,NSW Registry top baby names 2011
Grace,Female,Australia,Experienced,NSW Registry top baby names 2011
Ruby,Female,Australia,Experienced,NSW Registry top baby names 2011
Ava,Female,Australia,Experienced,NSW Registry top baby names 2011
Charlotte,Female,Australia,Modern,NSW Government popular baby names 2024/2025
Amelia,Female,Australia,Modern,NSW Government popular baby names 2022/2023
Isla,Female,Australia,Modern,NSW Government popular baby names 2023/2025
Mia,Female,Australia,Modern,NSW Government popular baby names 2024
Chloe,Female,Australia,Modern,NSW Government popular baby names 2024
Grace,Female,Australia,Modern,NSW Government popular baby names 2024
Ella,Female,Australia,Modern,NSW Government popular baby names 2024
Zoe,Female,Australia,Modern,NSW Government popular baby names 2024
Olivia,Female,Australia,Modern,NSW Government popular baby names 2024
Ruby,Female,Australia,Modern,NSW Government popular baby names 2024
