Name,Gender,Country,CareerStage,Source
Oliver,Male,New Zealand,Experienced,DIA most popular baby names for 2017
Jack,Male,New Zealand,Experienced,DIA most popular baby names for 2017
William,Male,New Zealand,Experienced,DIA most popular baby names for 2017
James,Male,New Zealand,Experienced,DIA most popular baby names for 2017
George,Male,New Zealand,Experienced,DIA most popular baby names for 2017
Lucas,Male,New Zealand,Experienced,DIA most popular baby names for 2017
Noah,Male,New Zealand,Experienced,DIA most popular baby names for 2017 / top baby names for 2023
Arlo,Male,New Zealand,Experienced,DIA most popular baby names for 2017
Oliver,Male,New Zealand,Modern,DIA top baby names 2022
Noah,Male,New Zealand,Modern,DIA top baby names for 2023
Arlo,Male,New Zealand,Modern,DIA most popular baby names for 2017
George,Male,New Zealand,Modern,DIA most popular baby names for 2017
Jack,Male,New Zealand,Modern,DIA most popular baby names for 2017
Charlotte,Female,New Zealand,Experienced,DIA most popular baby names for 2017 / top baby names for 2023
Harper,Female,New Zealand,Experienced,DIA most popular baby names for 2017
Isla,Female,New Zealand,Experienced,DIA most popular baby names for 2017 / top baby names 2022
Olivia,Female,New Zealand,Experienced,DIA most popular baby names for 2017
Amelia,Female,New Zealand,Experienced,DIA most popular baby names for 2017
Mia,Female,New Zealand,Experienced,DIA most popular baby names for 2017
Sophie,Female,New Zealand,Experienced,DIA most popular baby names for 2017
Charlotte,Female,New Zealand,Modern,DIA top baby names for 2023
Isla,Female,New Zealand,Modern,DIA top baby names 2022
Harper,Female,New Zealand,Modern,DIA top baby names 2022
Sophie,Female,New Zealand,Modern,DIA top baby names 2022
Olivia,Female,New Zealand,Modern,DIA most popular baby names for 2017
