Name,Gender,Country,CareerStage,Source
Harry,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Oliver,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Jack,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Alfie,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Charlie,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Thomas,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Jacob,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
James,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Joshua,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
William,Male,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Muhammad,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Noah,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Oliver,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
George,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Leo,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Arthur,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Oscar,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Theodore,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Theo,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Freddie,Male,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Amelia,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Olivia,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Lily,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Jessica,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Emily,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Sophie,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Ruby,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Grace,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Ava,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Isabella,Female,United Kingdom,Experienced,ONS Baby names in England and Wales 2011
Olivia,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Amelia,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Isla,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Ava,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Lily,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Ivy,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Freya,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Florence,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Isabella,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
Mia,Female,United Kingdom,Modern,ONS Baby names in England and Wales 2023
