Name,Category,Vendor,Version
Microsoft 365 Apps,Productivity,Microsoft,2408
Microsoft Teams,Collaboration,Microsoft,2.1
Google Chrome,Browser,Google,135
Microsoft Edge,Browser,Microsoft,135
CrowdStrike Falcon,Security,CrowdStrike,7.2
Cisco AnyConnect,VPN,Cisco,5.1
Visual Studio Code,Developer,Microsoft,1.99
7-Zip,Utility,7-Zip,24.09
SQL Server,Database,Microsoft,2022
IIS,Web,Microsoft,10.0
Windows Server Backup,Backup,Microsoft,10.0
VMware Tools,Virtualization,VMware,12.5
Adobe Acrobat,Productivity,Adobe,2025.001
Java Runtime,Utility,Oracle,8u441
Power BI Desktop,Analytics,Microsoft,2.140
