Value,Country,Source
Singh,New Zealand,DIA most common family names show diversity 2020
Smith,New Zealand,DIA most common family names show diversity 2020
Kaur,New Zealand,DIA most common family names show diversity 2020
Patel,New Zealand,DIA most common family names show diversity 2020
Williams,New Zealand,DIA most common family names show diversity 2020
Wilson,New Zealand,DIA most common family names 2021
Brown,New Zealand,DIA most common family names 2021
Taylor,New Zealand,DIA most common family names 2021
Jones,New Zealand,DIA most common family names 2021
Sharma,New Zealand,DIA most common family names 2021
