Value,Country,Source
Smith,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Khan,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Ahmed,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Ali,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Jones,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Hussain,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Williams,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Singh,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Kaur,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Taylor,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Patel,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Brown,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Davies,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Thomas,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Evans,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Johnson,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Wilson,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Roberts,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Thompson,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
Robinson,United Kingdom,ONS top twenty surnames given to live born children in 2024 England and Wales
